timestamp,target_lat,target_long,target_frequency,target_signal_bw,target_received_power,device_ip,device_port
2026-05-29 22:28:43,18.453625381382913,74.30957710640236,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:28:44,18.45436956928955,74.30918141467346,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:28:48,18.454282921598242,74.30922748606817,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:28:49,18.453828959431014,74.3094688620341,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:28:51,18.45327150561986,74.30976526548321,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:28:57,18.45448020144254,74.30912259051428,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:29:01,18.45467958384472,74.30901657701052,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:29:02,18.451122956213837,74.31090766946677,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:29:10,18.45448020144254,74.30912259051428,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:29:11,18.454564836599104,74.30907758920328,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:29:12,18.453530803182208,74.3096273945237,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:29:16,18.45468941340701,74.30901135053955,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:29:22,18.454250292581975,74.30924483522386,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:29:28,18.45431084576942,74.30921263852298,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:29:30,18.45464061668812,74.30903729621522,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:29:34,18.45450101488199,74.30911152381222,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:29:39,18.45414583339546,74.30930037715855,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:29:41,18.454545993111168,74.30908760846354,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:29:55,18.454453654616078,74.30913670571229,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:29:56,18.454272632206393,74.30923295703485,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:29:59,18.454694530524446,74.30900862971994,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:02,18.45445763792796,74.30913458774779,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:06,18.454461551010883,74.30913250712469,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:09,18.454555397612214,74.30908260800163,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:13,18.454542857003865,74.30908927596137,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:14,18.454483773533987,74.30912069119957,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:15,18.444262255318215,74.31455556884079,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:17,18.45448020144254,74.30912259051428,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:23,18.453625381382913,74.30957710640236,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:24,18.45327150561986,74.30976526548321,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:29,18.454555397612214,74.30908260800163,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:31,18.45446918292753,74.30912844916263,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:33,18.454577566504305,74.30907082059262,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:34,18.45408136267759,74.30933465684731,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:35,18.454520688111774,74.30910106337039,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:40,18.453996504550563,74.30937977671381,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:41,18.45472868532653,74.30899046928954,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:44,18.45453025499982,74.30909597656579,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:46,18.45465701665018,74.30902857620072,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:47,18.45459723973409,74.3090603601508,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:49,18.45327150561986,74.30976526548321,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:51,18.45308674460153,74.30986350465925,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:52,18.454413820635978,74.30915788581521,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:54,18.454164063894755,74.30929068383014,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:30:57,18.454027652957564,74.30936321481202,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:31:01,18.45445763792796,74.30913458774779,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:31:02,18.454487300524086,74.30911881586566,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:31:09,18.45459058154297,74.30906390037381,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:31:14,18.45414583339546,74.30930037715855,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:31:15,18.454607469244863,74.30905492102343,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:31:16,18.45453971707104,74.30909094549327,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:31:17,18.45464865794295,74.30903302060419,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:31:19,18.454126115125376,74.30931086154874,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:31:20,18.45447290945114,74.30912646773488,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:31:24,18.45453971707104,74.30909094549327,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:31:29,18.454555397612214,74.30908260800163,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:31:33,18.45455853754504,74.30908093846973,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:31:35,18.454375730145156,74.30917813888843,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:31:38,18.454577566504305,74.30907082059262,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:31:44,18.45431930352478,74.30920814145469,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:31:48,18.453879007660124,74.30944225091864,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:31:53,18.454238123697106,74.30925130553472,101.0,0.02,-60.0dbm,192.168.0.9,8081
2026-05-29 22:31:54,18.454301986897715,74.30921734886861,101.0,0.02,-60.0dbm,192.168.0.9,8081
